currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.rt,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.rt,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,finalWinnings,cashBonus,goodbyeText.started,goodbyeText.stopped,finalWinningsText.started,finalWinningsText.stopped,spaceToContinue.started,spaceToContinue.stopped,goodbyeKeyResp_2.keys,goodbyeKeyResp_2.rt,goodbyeKeyResp_2.started,goodbyeKeyResp_2.stopped,participant,date,expName,psychopyVersion,frameRate,
,,,1,1,4.5,,,,,,,,,0,0,0,0,0,13,13,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.89,-0.10999999999999999,-1.7099999999999995,3.249999999999999,4.5,1.2500000000000009,0.6250000000000004,gamble,win,4.5,59.62,1277.2602420664625,None,1277.2602420664625,None,1277.2602420664625,None,1277.2602420664625,None,1277.2602420664625,None,1277.2602420664625,None,1277.2602420664625,None,1,1.2840880911098793,1277.2602420664625,None,1278.5774278240278,None,1278.5774278240278,None,1278.5774278240278,None,1278.5774278240278,None,1278.5774278240278,None,1278.5774278240278,None,1278.5774278240278,None,1282.5622635532636,None,1282.5622635532636,None,1282.5622635532636,None,1282.5622635532636,None,1282.5622635532636,None,1282.5622635532636,None,1282.5622635532636,None,1283.5626436918974,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,10.5,,,,,,,,,0,0,0,0,0,14,14,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.89,-0.10999999999999999,-1.8199999999999994,3.3599999999999994,10.5,7.140000000000001,3.5700000000000003,gamble,win,10.5,70.12,1285.580074395868,None,1285.580074395868,None,1285.580074395868,None,1285.580074395868,None,1285.580074395868,None,1285.580074395868,None,1285.580074395868,None,1,0.8339532986283302,1285.580074395868,None,1286.4471253609518,None,1286.4471253609518,None,1286.4471253609518,None,1286.4471253609518,None,1286.4471253609518,None,1286.4471253609518,None,1286.4471253609518,None,1290.4319550105138,None,1290.4319550105138,None,1290.4319550105138,None,1290.4319550105138,None,1290.4319550105138,None,1290.4319550105138,None,1290.4319550105138,None,1299.9355076116044,None,1291.4322897117818,None,1292.4326490516542,None,0.94,7.502752325846814,1295.4337875478668,None,None,1295.4337875478668,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,5.9,,,,,,,,,0,0,0,0,0,15,15,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.94,-0.06000000000000005,-1.8799999999999994,2.72,5.9,3.18,1.59,gamble,win,5.9,76.02000000000001,1301.9529418352759,None,1301.9529418352759,None,1301.9529418352759,None,1301.9529418352759,None,1301.9529418352759,None,1301.9529418352759,None,1301.9529418352759,None,1,0.8338985816808417,1301.9529418352759,None,1302.8199339236598,None,1302.8199339236598,None,1302.8199339236598,None,1302.8199339236598,None,1302.8199339236598,None,1302.8199339236598,None,1302.8199339236598,None,1306.8047747726087,None,1306.8047747726087,None,1306.8047747726087,None,1306.8047747726087,None,1306.8047747726087,None,1306.8047747726087,None,1306.8047747726087,None,1307.805158431176,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,4.1,,,,,,,,,0,0,0,0,0,16,16,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.94,-0.06000000000000005,-1.9399999999999995,-0.3716666666666668,4.1,3.7283333333333326,1.8641666666666663,gamble,lose,3.7283333333333326,79.74833333333335,1309.8225840153173,None,1309.8225840153173,None,1309.8225840153173,None,1309.8225840153173,None,1309.8225840153173,None,1309.8225840153173,None,1309.8225840153173,None,1,0.8006098858313635,1309.8225840153173,None,1310.656252209912,None,1310.656252209912,None,1310.656252209912,None,1310.656252209912,None,1310.656252209912,None,1310.656252209912,None,1310.656252209912,None,1314.6411461757962,None,1314.6411461757962,None,1314.6411461757962,None,1314.6411461757962,None,1314.6411461757962,None,1314.6411461757962,None,1314.6411461757962,None,1324.1446536594303,None,1315.6415112753166,None,1316.6418334973278,None,0.94,7.502756485599093,1319.6429342356278,None,None,1319.6429342356278,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,5.3,,,,,,,,,0,0,0,0,0,17,17,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,0.94,-0.06000000000000005,-1.9999999999999996,-0.3766666666666668,5.3,4.923333333333333,2.4616666666666664,gamble,lose,4.923333333333333,84.67166666666668,1326.162158919149,None,1326.162158919149,None,1326.162158919149,None,1326.162158919149,None,1326.162158919149,None,1326.162158919149,None,1326.162158919149,None,1,0.7671340004308149,1326.162158919149,None,1326.9623518682783,None,1326.9623518682783,None,1326.9623518682783,None,1326.9623518682783,None,1326.9623518682783,None,1326.9623518682783,None,1326.9623518682783,None,1330.9473194300663,None,1330.9473194300663,None,1330.9473194300663,None,1330.9473194300663,None,1330.9473194300663,None,1330.9473194300663,None,1330.9473194300663,None,1331.9476090138778,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,2.3,,,,,,,,,0,0,0,0,0,18,18,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.94,-0.06000000000000005,-2.0599999999999996,2.9000000000000004,2.3,-0.6000000000000005,0.8499999999999996,certain,certain,0.8499999999999996,85.52166666666668,1333.965064036427,None,1333.965064036427,None,1333.965064036427,None,1333.965064036427,None,1333.965064036427,None,1333.965064036427,None,1333.965064036427,None,3,1.6342544016661122,1333.965064036427,None,1335.6324388234643,None,1335.6324388234643,None,1335.6324388234643,None,1335.6324388234643,None,1335.6324388234643,None,1335.6324388234643,None,1335.6324388234643,None,1339.6171977568883,None,1339.6171977568883,None,1339.6171977568883,None,1339.6171977568883,None,1339.6171977568883,None,1339.6171977568883,None,1339.6171977568883,None,1340.61757981556,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,2.5,,,,,,,,,0,0,0,0,0,19,19,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.94,-0.06000000000000005,-2.1199999999999997,-0.3866666666666668,2.5,2.1133333333333333,1.0566666666666666,gamble,lose,2.1133333333333333,87.635,1342.6350092394277,None,1342.6350092394277,None,1342.6350092394277,None,1342.6350092394277,None,1342.6350092394277,None,1342.6350092394277,None,1342.6350092394277,None,1,0.8006578831700608,1342.6350092394277,None,1343.4686975929653,None,1343.4686975929653,None,1343.4686975929653,None,1343.4686975929653,None,1343.4686975929653,None,1343.4686975929653,None,1343.4686975929653,None,1347.470196389011,None,1347.470196389011,None,1347.470196389011,None,1347.470196389011,None,1347.470196389011,None,1347.470196389011,None,1347.470196389011,None,1356.957077283645,None,1348.4538789028302,None,1349.4542568016332,None,0.91,7.50261345366016,1352.455379618681,None,None,1352.455379618681,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,12.3,,,,,,,,,0,0,0,0,0,20,20,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.91,-0.08999999999999997,-2.2099999999999995,-0.49916666666666654,12.3,11.800833333333333,5.900416666666667,gamble,lose,11.800833333333333,99.43583333333333,1358.9745323061943,None,1358.9745323061943,None,1358.9745323061943,None,1358.9745323061943,None,1358.9745323061943,None,1358.9745323061943,None,1358.9745323061943,None,1,0.7005108514567837,1358.9745323061943,None,1359.7081885014195,None,1359.7081885014195,None,1359.7081885014195,None,1359.7081885014195,None,1359.7081885014195,None,1359.7081885014195,None,1359.7081885014195,None,1363.6929355956381,None,1363.6929355956381,None,1363.6929355956381,None,1363.6929355956381,None,1363.6929355956381,None,1363.6929355956381,None,1363.6929355956381,None,1364.6933608517284,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,11.3,,,,,,,,,0,0,0,0,0,21,21,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.91,-0.08999999999999997,-2.2999999999999994,3.5599999999999987,11.3,7.740000000000002,3.870000000000001,gamble,win,11.3,110.73583333333333,1366.7107573176036,None,1366.7107573176036,None,1366.7107573176036,None,1366.7107573176036,None,1366.7107573176036,None,1366.7107573176036,None,1366.7107573176036,None,1,0.800611165817827,1366.7107573176036,None,1367.544405993307,None,1367.544405993307,None,1367.544405993307,None,1367.544405993307,None,1367.544405993307,None,1367.544405993307,None,1367.544405993307,None,1371.5292503619567,None,1371.5292503619567,None,1371.5292503619567,None,1371.5292503619567,None,1371.5292503619567,None,1371.5292503619567,None,1371.5292503619567,None,1381.0328813586384,None,1372.5296637788415,None,1373.530006159679,None,0.92,7.502783364150673,1376.531128976727,None,None,1376.531128976727,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,8.3,,,,,,,,,0,0,0,0,0,22,22,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.92,-0.07999999999999996,-2.3799999999999994,3.499999999999999,8.3,4.800000000000002,2.400000000000001,gamble,win,8.3,119.03583333333333,1383.0503370211227,None,1383.0503370211227,None,1383.0503370211227,None,1383.0503370211227,None,1383.0503370211227,None,1383.0503370211227,None,1383.0503370211227,None,1,0.9505893269088119,1383.0503370211227,None,1384.03398401686,None,1384.03398401686,None,1384.03398401686,None,1384.03398401686,None,1384.03398401686,None,1384.03398401686,None,1384.03398401686,None,1388.0188712632516,None,1388.0188712632516,None,1388.0188712632516,None,1388.0188712632516,None,1388.0188712632516,None,1388.0188712632516,None,1388.0188712632516,None,1389.0192040445982,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,-0.5,,,,,,,,,0,0,0,0,0,23,23,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,True,0.92,-0.07999999999999996,-2.4599999999999995,-0.4849999999999998,-0.5,-0.9849999999999999,-0.7424999999999999,certain,certain,-0.7424999999999999,118.29333333333332,1391.0366296287393,None,1391.0366296287393,None,1391.0366296287393,None,1391.0366296287393,None,1391.0366296287393,None,1391.0366296287393,None,1391.0366296287393,None,3,2.1510804994031787,1391.0366296287393,None,1393.2207924355753,None,1393.2207924355753,None,1393.2207924355753,None,1393.2207924355753,None,1393.2207924355753,None,1393.2207924355753,None,1393.2207924355753,None,1397.2223520282423,None,1397.2223520282423,None,1397.2223520282423,None,1397.2223520282423,None,1397.2223520282423,None,1397.2223520282423,None,1397.2223520282423,None,1406.7092351628235,None,1398.2060508611612,None,1399.206398681621,None,0.89,7.502816642168909,1402.2075214987854,None,None,1402.2075214987854,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,7.7,,,,,,,,,0,0,0,0,0,24,24,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.89,-0.10999999999999999,-2.5699999999999994,4.109999999999999,7.7,3.5900000000000007,1.7950000000000004,gamble,win,7.7,125.99333333333333,1408.7266645868076,None,1408.7266645868076,None,1408.7266645868076,None,1408.7266645868076,None,1408.7266645868076,None,1408.7266645868076,None,1408.7266645868076,None,1,0.7504197366070002,1408.7266645868076,None,1409.510346780531,None,1409.510346780531,None,1409.510346780531,None,1409.510346780531,None,1409.510346780531,None,1409.510346780531,None,1409.510346780531,None,1413.495183149702,None,1413.495183149702,None,1413.495183149702,None,1413.495183149702,None,1413.495183149702,None,1413.495183149702,None,1413.495183149702,None,1414.495514971204,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,-0.3,,,,,,,,,0,0,0,0,0,25,25,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.89,-0.10999999999999999,-2.6799999999999993,4.219999999999999,-0.3,-4.519999999999999,-2.4099999999999993,certain,certain,-2.4099999999999993,123.58333333333333,1416.5129850328667,None,1416.5129850328667,None,1416.5129850328667,None,1416.5129850328667,None,1416.5129850328667,None,1416.5129850328667,None,1416.5129850328667,None,3,1.200715799932368,1416.5129850328667,None,1417.7467444223585,None,1417.7467444223585,None,1417.7467444223585,None,1417.7467444223585,None,1417.7467444223585,None,1417.7467444223585,None,1417.7467444223585,None,1421.7316355083603,None,1421.7316355083603,None,1421.7316355083603,None,1421.7316355083603,None,1421.7316355083603,None,1421.7316355083603,None,1421.7316355083603,None,1422.7320185269928,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,1,1,0.5,,,,,,,,,0,0,0,0,0,26,26,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.89,-0.10999999999999999,-2.789999999999999,4.329999999999999,0.5,-3.829999999999999,-1.6649999999999996,certain,certain,-1.6649999999999996,121.91833333333332,1424.749392593978,None,1424.749392593978,None,1424.749392593978,None,1424.749392593978,None,1424.749392593978,None,1424.749392593978,None,1424.749392593978,None,3,0.7005652483785525,1424.749392593978,None,1425.4830097514205,None,1425.4830097514205,None,1425.4830097514205,None,1425.4830097514205,None,1425.4830097514205,None,1425.4830097514205,None,1425.4830097514205,None,1429.4678512403043,None,1429.4678512403043,None,1429.4678512403043,None,1429.4678512403043,None,1429.4678512403043,None,1429.4678512403043,None,1429.4678512403043,None,1438.9714732775465,None,1430.468223699485,None,1431.4686201572185,None,0.87,7.502760325442068,1434.4697842521127,None,None,1434.4697842521127,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,2,0,4.7,,,,,,,,,0,1,1,1,0,0,0,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1443.6398806467187,None,0.92,7.501643587951548,1446.6576950090239,None,None,1446.6576950090239,None,1451.1427580855088,None,False,True,False,0.92,0.92,0.92,-13.8,4.7,-9.100000000000001,-2.2000000000000006,certain,certain,-2.2000000000000006,119.71833333333332,1454.1772284752224,None,1454.1772284752224,None,1454.1772284752224,None,1454.1772284752224,None,1454.1772284752224,None,1454.1772284752224,None,1454.1772284752224,None,3,0.8838906621094793,1454.1772284752224,None,1455.0942116841907,None,1455.0942116841907,None,1455.0942116841907,None,1455.0942116841907,None,1455.0942116841907,None,1455.0942116841907,None,1455.0942116841907,None,1459.0957344789058,None,1459.0957344789058,None,1459.0957344789058,None,1459.0957344789058,None,1459.0957344789058,None,1459.0957344789058,None,1459.0957344789058,None,1460.079434911604,None,,,,,,,,,,,,1440.9721967569785,None,4,2.6513388850726187,1440.9721967569785,None,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,2,0,12.9,,,,,,,,,0,1,1,1,0,1,1,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.92,0.92,1.84,-14.72,12.9,-1.8200000000000003,-0.9100000000000001,certain,certain,-0.9100000000000001,118.80833333333332,1462.09691873251,None,1462.09691873251,None,1462.09691873251,None,1462.09691873251,None,1462.09691873251,None,1462.09691873251,None,1462.09691873251,None,3,0.5337941074976698,1462.09691873251,None,1462.6637490700232,None,1462.6637490700232,None,1462.6637490700232,None,1462.6637490700232,None,1462.6637490700232,None,1462.6637490700232,None,1462.6637490700232,None,1466.6652597055072,None,1466.6652597055072,None,1466.6652597055072,None,1466.6652597055072,None,1466.6652597055072,None,1466.6652597055072,None,1466.6652597055072,None,1476.1522820321843,None,1467.6490170949837,None,1468.649359795847,None,0.89,7.502806082833558,1471.6504730135202,None,None,1471.6504730135202,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,2,0,12.1,,,,,,,,,0,1,1,1,0,2,2,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,0.89,0.89,2.73,3.3425000000000002,3.025,-0.31750000000000034,1.3537499999999998,gamble,win,3.025,121.83333333333333,1478.1697220155038,None,1478.1697220155038,None,1478.1697220155038,None,1478.1697220155038,None,1478.1697220155038,None,1478.1697220155038,None,1478.1697220155038,None,1,0.7671420000260696,1478.1697220155038,None,1478.96997480141,None,1478.96997480141,None,1478.96997480141,None,1478.96997480141,None,1478.96997480141,None,1478.96997480141,None,1478.96997480141,None,1482.9547615733463,None,1482.9547615733463,None,1482.9547615733463,None,1482.9547615733463,None,1482.9547615733463,None,1482.9547615733463,None,1482.9547615733463,None,1483.9551407521358,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,2,0,9.5,,,,,,,,,0,1,1,1,0,3,3,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.89,0.89,3.62,-16.080000000000002,9.5,-6.580000000000002,1.459999999999999,certain,certain,1.459999999999999,123.29333333333332,1485.97257145599,None,1485.97257145599,None,1485.97257145599,None,1485.97257145599,None,1485.97257145599,None,1485.97257145599,None,1485.97257145599,None,3,1.5841890454757959,1485.97257145599,None,1487.589846648625,None,1487.589846648625,None,1487.589846648625,None,1487.589846648625,None,1487.589846648625,None,1487.589846648625,None,1487.589846648625,None,1491.5913656034973,None,1491.5913656034973,None,1491.5913656034973,None,1491.5913656034973,None,1491.5913656034973,None,1491.5913656034973,None,1491.5913656034973,None,1501.0783469725866,None,1492.575071156025,None,1493.57549449231,None,0.91,7.502768644946627,1496.5765757117188,None,None,1496.5765757117188,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,2,0,2.5,,,,,,,,,0,1,1,1,0,4,4,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0.91,0.91,4.53,3.5625,0.625,-2.9375,-1.15625,certain,certain,-1.15625,122.13708333333332,1503.0957018407062,None,1503.0957018407062,None,1503.0957018407062,None,1503.0957018407062,None,1503.0957018407062,None,1503.0957018407062,None,1503.0957018407062,None,3,1.4676077340263873,1503.0957018407062,None,1504.5962846881012,None,1504.5962846881012,None,1504.5962846881012,None,1504.5962846881012,None,1504.5962846881012,None,1504.5962846881012,None,1504.5962846881012,None,1508.5812116120942,None,1508.5812116120942,None,1508.5812116120942,None,1508.5812116120942,None,1508.5812116120942,None,1508.5812116120942,None,1508.5812116120942,None,1509.5815072755795,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,2,0,-0.9,,,,,,,,,0,1,1,1,0,5,5,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0.91,0.91,5.44,3.6383333333333336,-0.225,-3.8633333333333337,-2.044166666666667,certain,certain,-2.044166666666667,120.09291666666665,1511.5990013359115,None,1511.5990013359115,None,1511.5990013359115,None,1511.5990013359115,None,1511.5990013359115,None,1511.5990013359115,None,1511.5990013359115,None,3,1.5507739566965029,1511.5990013359115,None,1513.18292543618,None,1513.18292543618,None,1513.18292543618,None,1513.18292543618,None,1513.18292543618,None,1513.18292543618,None,1513.18292543618,None,1517.184444071143,None,1517.184444071143,None,1517.184444071143,None,1517.184444071143,None,1517.184444071143,None,1517.184444071143,None,1517.184444071143,None,1518.168093306711,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,2,0,5.5,,,,,,,,,0,1,1,1,0,6,6,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,True,0.91,0.91,6.3500000000000005,3.714166666666667,1.375,-2.339166666666667,-0.4820833333333334,certain,certain,-0.4820833333333334,119.61083333333332,1520.1855262505123,None,1520.1855262505123,None,1520.1855262505123,None,1520.1855262505123,None,1520.1855262505123,None,1520.1855262505123,None,1520.1855262505123,None,3,0.6671783180208877,1520.1855262505123,None,1520.885788795771,None,1520.885788795771,None,1520.885788795771,None,1520.885788795771,None,1520.885788795771,None,1520.885788795771,None,1520.885788795771,None,1524.887352868216,None,1524.887352868216,None,1524.887352868216,None,1524.887352868216,None,1524.887352868216,None,1524.887352868216,None,1524.887352868216,None,1534.3742232035147,None,1525.8710645004176,None,1526.8714433591813,None,0.89,7.502774084568955,1529.87250697962,None,None,1529.87250697962,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,2,0,2.7,,,,,,,,,0,1,1,1,0,7,7,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.89,0.89,7.24,-19.700000000000003,2.7,-17.000000000000004,-7.150000000000002,certain,certain,-7.150000000000002,112.46083333333331,1536.391711184173,None,1536.391711184173,None,1536.391711184173,None,1536.391711184173,None,1536.391711184173,None,1536.391711184173,None,1536.391711184173,None,3,1.7842504819855094,1536.391711184173,None,1538.2090650923783,None,1538.2090650923783,None,1538.2090650923783,None,1538.2090650923783,None,1538.2090650923783,None,1538.2090650923783,None,1538.2090650923783,None,1542.2105309303151,None,1542.2105309303151,None,1542.2105309303151,None,1542.2105309303151,None,1542.2105309303151,None,1542.2105309303151,None,1542.2105309303151,None,1543.1942307230784,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
,,,2,0,-0.3,,,,,,,,,0,1,1,1,0,8,8,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.89,0.89,8.13,-20.590000000000003,-0.3,-20.890000000000004,-10.595000000000002,certain,certain,-10.595000000000002,101.86583333333331,1545.2116585471667,None,1545.2116585471667,None,1545.2116585471667,None,1545.2116585471667,None,1545.2116585471667,None,1545.2116585471667,None,1545.2116585471667,None,3,2.18440503324382,1545.2116585471667,None,1547.4291679665912,None,1547.4291679665912,None,1547.4291679665912,None,1547.4291679665912,None,1547.4291679665912,None,1547.4291679665912,None,1547.4291679665912,None,1551.430706440471,None,1551.430706440471,None,1551.430706440471,None,1551.430706440471,None,1551.430706440471,None,1551.430706440471,None,1551.430706440471,None,1560.917582215392,None,1552.414438871434,None,1553.414769732859,None,0.87,7.502282272209413,1556.4159415073227,None,None,1556.4159415073227,None,,,,,,,,,,,,,,,,,,,23780,2019_Dec_30_1128,Mmi_3levels,3.1.5,59.97702768786066,
