currSlide,currImage,currText,blockNum,targetHappiness,highAmount,instructionLoop1.thisRepN,instructionLoop1.thisTrialN,instructionLoop1.thisN,instructionLoop1.thisIndex,instructionLoop2.thisRepN,instructionLoop2.thisTrialN,instructionLoop2.thisN,instructionLoop2.thisIndex,blockLoop.thisRepN,blockLoop.thisTrialN,blockLoop.thisN,blockLoop.thisIndex,trialLoop.thisRepN,trialLoop.thisTrialN,trialLoop.thisN,trialLoop.thisIndex,doRatingLoop.thisRepN,doRatingLoop.thisTrialN,doRatingLoop.thisN,doRatingLoop.thisIndex,trialHappyLoop.thisRepN,trialHappyLoop.thisTrialN,trialHappyLoop.thisN,trialHappyLoop.thisIndex,logWinningsLoop.thisRepN,logWinningsLoop.thisTrialN,logWinningsLoop.thisN,logWinningsLoop.thisIndex,instrImage.started,instrImage.stopped,instrText.started,instrText.stopped,instrContinueText.started,instrContinueText.stopped,instrKeyResp.keys,instrKeyResp.rt,instrKeyResp.started,instrKeyResp.stopped,lifeHappyText.started,lifeHappyText.stopped,lifeHappySlider.response,lifeHappySlider.rt,lifeHappySlider.started,lifeHappySlider.stopped,lifeHappyResp.keys,lifeHappyResp.rt,lifeHappyResp.started,lifeHappyResp.stopped,instrImage_2.started,instrImage_2.stopped,instrText_2.started,instrText_2.stopped,instrContinueText_2.started,instrContinueText_2.stopped,instrKeyResp_2.keys,instrKeyResp_2.rt,instrKeyResp_2.started,instrKeyResp_2.stopped,localizing.started,localizing.stopped,start_exp.keys,start_exp.rt,start_exp.started,start_exp.stopped,blockHappyText.started,blockHappyText.stopped,blockHappySlider.response,blockHappySlider.rt,blockHappySlider.started,blockHappySlider.stopped,blockHappyResp.keys,blockHappyResp.rt,blockHappyResp.started,blockHappyResp.stopped,blankText.started,blankText.stopped,isHappyBlock,isCongruent,isWinOnTop,lastHappyRating,diff,sumDiff,RPE,winAmount,loseAmount,certainAmount,choice,outcome,outcomeAmount,currentWinnings,fixCross.started,fixCross.stopped,certainBox.started,certainBox.stopped,outcome1Box.started,outcome1Box.stopped,outcome2Box.started,outcome2Box.stopped,certainText.started,certainText.stopped,outcome1Text.started,outcome1Text.stopped,outcome2Text.started,outcome2Text.stopped,choiceKey.keys,choiceKey.rt,choiceKey.started,choiceKey.stopped,fixCross_2.started,fixCross_2.stopped,certainBox_2.started,certainBox_2.stopped,outcome1Box_2.started,outcome1Box_2.stopped,outcome2Box_2.started,outcome2Box_2.stopped,certainText_2.started,certainText_2.stopped,outcome1Text_2.started,outcome1Text_2.stopped,outcome2Text_2.started,outcome2Text_2.stopped,fixCross_3.started,fixCross_3.stopped,certainBox_3.started,certainBox_3.stopped,outcome1Box_3.started,outcome1Box_3.stopped,outcome2Box_3.started,outcome2Box_3.stopped,certainText_3.started,certainText_3.stopped,outcome1Text_3.started,outcome1Text_3.stopped,outcome2Text_3.started,outcome2Text_3.stopped,fixCross_ITI.started,fixCross_ITI.stopped,fixCross_ISI.started,fixCross_ISI.stopped,happyText.started,happyText.stopped,happySlider.response,happySlider.rt,happySlider.started,happySlider.stopped,happyResp.keys,happyResp.started,happyResp.stopped,endOfBlockText.started,endOfBlockText.stopped,restKeyResp.keys,restKeyResp.rt,restKeyResp.started,restKeyResp.stopped,finalWinnings,cashBonus,participant,date,expName,psychopyVersion,frameRate,
,,,1,1,8.1,,,,,,,,,0,0,0,0,0,14,14,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.73,-0.27,-3.85,7.630000000000001,8.1,0.46999999999999886,0.23499999999999943,gamble,win,8.1,94.61166666666665,247.37786075979238,None,247.37786075979238,None,247.37786075979238,None,247.37786075979238,None,247.37786075979238,None,247.37786075979238,None,247.37786075979238,None,1,0.9506610029493459,247.37786075979238,None,248.36156407243107,None,248.36156407243107,None,248.36156407243107,None,248.36156407243107,None,248.36156407243107,None,248.36156407243107,None,248.36156407243107,None,252.3464490788756,None,252.3464490788756,None,252.3464490788756,None,252.3464490788756,None,252.3464490788756,None,252.3464490788756,None,252.3464490788756,None,261.8500490372535,None,253.34683241741732,None,254.34720743639627,None,0.7,7.502729607105721,257.34830721479375,None,None,257.34830721479375,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,11.5,,,,,,,,,0,0,0,0,0,15,15,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.7,-0.30000000000000004,-4.15,8.350000000000001,11.5,3.1499999999999986,1.5749999999999993,gamble,win,11.5,106.11166666666665,263.8674877407029,None,263.8674877407029,None,263.8674877407029,None,263.8674877407029,None,263.8674877407029,None,263.8674877407029,None,263.8674877407029,None,1,0.8338953818310983,263.8674877407029,None,264.734511507384,None,264.734511507384,None,264.734511507384,None,264.734511507384,None,264.734511507384,None,264.734511507384,None,264.734511507384,None,268.7360032638535,None,268.7360032638535,None,268.7360032638535,None,268.7360032638535,None,268.7360032638535,None,268.7360032638535,None,268.7360032638535,None,269.7196934571839,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,12.7,,,,,,,,,0,0,0,0,0,16,16,26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.7,-0.30000000000000004,-4.45,8.650000000000002,12.7,4.049999999999997,2.0249999999999986,gamble,win,12.7,118.81166666666665,271.7371251209988,None,271.7371251209988,None,271.7371251209988,None,271.7371251209988,None,271.7371251209988,None,271.7371251209988,None,271.7371251209988,None,1,0.8505690080928616,271.7371251209988,None,272.62075115792686,None,272.62075115792686,None,272.62075115792686,None,272.62075115792686,None,272.62075115792686,None,272.62075115792686,None,272.62075115792686,None,276.6223104306264,None,276.6223104306264,None,276.6223104306264,None,276.6223104306264,None,276.6223104306264,None,276.6223104306264,None,276.6223104306264,None,286.1092294031405,None,277.60601118340855,None,278.6063695633202,None,0.71,7.5027616053121164,281.60748950060224,None,None,281.60748950060224,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,4.1,,,,,,,,,0,0,0,0,0,17,17,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.71,-0.29000000000000004,-4.74,8.8,4.1,-4.700000000000001,-0.3000000000000007,gamble,win,4.1,122.91166666666665,288.12666426680516,None,288.12666426680516,None,288.12666426680516,None,288.12666426680516,None,288.12666426680516,None,288.12666426680516,None,288.12666426680516,None,1,1.2673882262897678,288.12666426680516,None,289.4271603990346,None,289.4271603990346,None,289.4271603990346,None,289.4271603990346,None,289.4271603990346,None,289.4271603990346,None,289.4271603990346,None,293.41195389057975,None,293.41195389057975,None,293.41195389057975,None,293.41195389057975,None,293.41195389057975,None,293.41195389057975,None,293.41195389057975,None,294.41239610582124,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,3.3,,,,,,,,,0,0,0,0,0,18,18,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.71,-0.29000000000000004,-5.03,9.09,3.3,-5.79,-1.245,certain,certain,-1.245,121.66666666666664,296.42980857071234,None,296.42980857071234,None,296.42980857071234,None,296.42980857071234,None,296.42980857071234,None,296.42980857071234,None,296.42980857071234,None,3,1.6008338732644916,296.42980857071234,None,298.06371419201605,None,298.06371419201605,None,298.06371419201605,None,298.06371419201605,None,298.06371419201605,None,298.06371419201605,None,298.06371419201605,None,302.06522674730513,None,302.06522674730513,None,302.06522674730513,None,302.06522674730513,None,302.06522674730513,None,302.06522674730513,None,302.06522674730513,None,303.0489431791939,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,10.3,,,,,,,,,0,0,0,0,0,19,19,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.71,-0.29000000000000004,-5.32,9.38,10.3,0.9199999999999999,0.45999999999999996,gamble,win,10.3,131.96666666666664,305.06641420081723,None,305.06641420081723,None,305.06641420081723,None,305.06641420081723,None,305.06641420081723,None,305.06641420081723,None,305.06641420081723,None,1,1.1506648428039625,305.06641420081723,None,306.25017031049356,None,306.25017031049356,None,306.25017031049356,None,306.25017031049356,None,306.25017031049356,None,306.25017031049356,None,306.25017031049356,None,310.25170366460225,None,310.25170366460225,None,310.25170366460225,None,310.25170366460225,None,310.25170366460225,None,310.25170366460225,None,310.25170366460225,None,319.7386264769011,None,311.23537049925653,None,312.2358303135261,None,0.75,7.502756485599093,315.2368692953023,None,None,315.2368692953023,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,9.5,,,,,,,,,0,0,0,0,0,20,20,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.75,-0.25,-5.57,9.07,9.5,0.4299999999999997,0.21499999999999986,gamble,win,9.5,141.46666666666664,321.7560175030376,None,321.7560175030376,None,321.7560175030376,None,321.7560175030376,None,321.7560175030376,None,321.7560175030376,None,321.7560175030376,None,1,1.06736038782401,321.7560175030376,None,322.8564745974145,None,322.8564745974145,None,322.8564745974145,None,322.8564745974145,None,322.8564745974145,None,322.8564745974145,None,322.8564745974145,None,326.8413183261873,None,326.8413183261873,None,326.8413183261873,None,326.8413183261873,None,326.8413183261873,None,326.8413183261873,None,326.8413183261873,None,327.84173654275946,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,4.9,,,,,,,,,0,0,0,0,0,21,21,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.75,-0.25,-5.82,9.32,4.9,-4.42,0.2400000000000002,certain,certain,0.2400000000000002,141.70666666666665,329.8591749262414,None,329.8591749262414,None,329.8591749262414,None,329.8591749262414,None,329.8591749262414,None,329.8591749262414,None,329.8591749262414,None,3,1.484104730130639,329.8591749262414,None,331.3763622837141,None,331.3763622837141,None,331.3763622837141,None,331.3763622837141,None,331.3763622837141,None,331.3763622837141,None,331.3763622837141,None,335.3612098522717,None,335.3612098522717,None,335.3612098522717,None,335.3612098522717,None,335.3612098522717,None,335.3612098522717,None,335.3612098522717,None,344.8647621333366,None,336.3616239090916,None,337.3619678898249,None,0.73,7.50273184699472,340.3630875070812,None,None,340.3630875070812,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,12.9,,,,,,,,,0,0,0,0,0,22,22,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,False,False,0.73,-0.27,-6.09,-1.4525000000000001,12.9,11.4475,5.72375,gamble,lose,11.4475,153.15416666666664,346.8822501139948,None,346.8822501139948,None,346.8822501139948,None,346.8822501139948,None,346.8822501139948,None,346.8822501139948,None,346.8822501139948,None,1,1.0671376802492887,346.8822501139948,None,347.982610893785,None,347.982610893785,None,347.982610893785,None,347.982610893785,None,347.982610893785,None,347.982610893785,None,347.982610893785,None,351.9674491828773,None,351.9674491828773,None,351.9674491828773,None,351.9674491828773,None,351.9674491828773,None,351.9674491828773,None,351.9674491828773,None,352.9678264417453,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,10.7,,,,,,,,,0,0,0,0,0,23,23,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.73,-0.27,-6.359999999999999,10.14,10.7,0.5599999999999987,0.27999999999999936,gamble,win,10.7,163.85416666666663,354.985329461575,None,354.985329461575,None,354.985329461575,None,354.985329461575,None,354.985329461575,None,354.985329461575,None,354.985329461575,None,1,0.9838959418120794,354.985329461575,None,356.0023038709769,None,356.0023038709769,None,356.0023038709769,None,356.0023038709769,None,356.0023038709769,None,356.0023038709769,None,356.0023038709769,None,360.00383626518305,None,360.00383626518305,None,360.00383626518305,None,360.00383626518305,None,360.00383626518305,None,360.00383626518305,None,360.00383626518305,None,369.4907949154731,None,360.9875302982982,None,361.9879533146159,None,0.72,7.502698888827581,364.9890729319304,None,None,364.9890729319304,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,0.9,,,,,,,,,0,0,0,0,0,24,24,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,True,0.72,-0.28,-6.64,10.56,0.9,-9.66,-4.38,certain,certain,-4.38,159.47416666666663,371.50828161626123,None,371.50828161626123,None,371.50828161626123,None,371.50828161626123,None,371.50828161626123,None,371.50828161626123,None,371.50828161626123,None,3,1.7007994752493687,371.50828161626123,None,373.2422142759897,None,373.2422142759897,None,373.2422142759897,None,373.2422142759897,None,373.2422142759897,None,373.2422142759897,None,373.2422142759897,None,377.2437687489437,None,377.2437687489437,None,377.2437687489437,None,377.2437687489437,None,377.2437687489437,None,377.2437687489437,None,377.2437687489437,None,378.2273904661415,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,6.1,,,,,,,,,0,0,0,0,0,25,25,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.72,-0.28,-6.92,10.84,6.1,-4.74,0.6799999999999997,certain,certain,0.6799999999999997,160.15416666666664,380.2448646876146,None,380.2448646876146,None,380.2448646876146,None,380.2448646876146,None,380.2448646876146,None,380.2448646876146,None,380.2448646876146,None,3,1.5341828857781366,380.2448646876146,None,381.81212124123704,None,381.81212124123704,None,381.81212124123704,None,381.81212124123704,None,381.81212124123704,None,381.81212124123704,None,381.81212124123704,None,385.81356532033533,None,385.81356532033533,None,385.81356532033533,None,385.81356532033533,None,385.81356532033533,None,385.81356532033533,None,385.81356532033533,None,386.7973447886761,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,1,1,9.1,,,,,,,,,0,0,0,0,0,26,26,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,True,True,False,0.72,-0.28,-7.2,11.120000000000001,9.1,-2.0200000000000014,-1.0100000000000007,gamble,win,9.1,169.25416666666663,388.81477837241255,None,388.81477837241255,None,388.81477837241255,None,388.81477837241255,None,388.81477837241255,None,388.81477837241255,None,388.81477837241255,None,1,1.0673127105110325,388.81477837241255,None,389.91518746950896,None,389.91518746950896,None,389.91518746950896,None,389.91518746950896,None,389.91518746950896,None,389.91518746950896,None,389.91518746950896,None,393.9000289583928,None,393.9000289583928,None,393.9000289583928,None,393.9000289583928,None,393.9000289583928,None,393.9000289583928,None,393.9000289583928,None,403.40363979618996,None,394.9003962978022,None,395.90079307561973,None,0.83,7.502664010797162,398.9019389314344,None,None,398.9019389314344,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,2,0,-0.7,,,,,,,,,0,1,1,1,0,0,0,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,421.9439893765957,None,0.69,7.501800059166271,424.9617759005632,None,None,,424.9617759005632,None,429.4468424968072,None,False,False,True,0.69,0.69,0.69,2.4725,-0.175,-2.6475,-1.41125,gamble,win,-0.175,169.07916666666662,432.48130328702973,None,432.48130328702973,None,432.48130328702973,None,432.48130328702973,None,432.48130328702973,None,432.48130328702973,None,432.48130328702973,None,1,1.7175594966392964,432.48130328702973,None,434.2319662098889,None,434.2319662098889,None,434.2319662098889,None,434.2319662098889,None,434.2319662098889,None,434.2319662098889,None,434.2319662098889,None,438.23343812749954,None,438.23343812749954,None,438.23343812749954,None,438.23343812749954,None,438.23343812749954,None,438.23343812749954,None,438.23343812749954,None,439.21718847745797,None,,,,,,,,,,,,405.404317198263,None,4,16.523163982841652,405.404317198263,None,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,2,0,7.9,,,,,,,,,0,1,1,1,0,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0.69,0.69,1.38,2.5300000000000002,1.975,-0.5550000000000002,0.71,certain,certain,0.71,169.78916666666663,441.2346204612404,None,441.2346204612404,None,441.2346204612404,None,441.2346204612404,None,441.2346204612404,None,441.2346204612404,None,441.2346204612404,None,3,1.4007669970742427,441.2346204612404,None,442.66850240388885,None,442.66850240388885,None,442.66850240388885,None,442.66850240388885,None,442.66850240388885,None,442.66850240388885,None,442.66850240388885,None,446.65337301109685,None,446.65337301109685,None,446.65337301109685,None,446.65337301109685,None,446.65337301109685,None,446.65337301109685,None,446.65337301109685,None,456.156928172044,None,447.6537134720711,None,448.65404945326736,None,0.63,7.502794243511744,451.6552119481494,None,None,451.6552119481494,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,2,0,0.9,,,,,,,,,0,1,1,1,0,2,2,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0.63,0.63,2.01,2.3725,0.225,-2.1475,-0.9612499999999999,gamble,win,0.225,170.01416666666663,458.1743643156369,None,458.1743643156369,None,458.1743643156369,None,458.1743643156369,None,458.1743643156369,None,458.1743643156369,None,458.1743643156369,None,1,1.4007705168332905,458.1743643156369,None,459.6081947411294,None,459.6081947411294,None,459.6081947411294,None,459.6081947411294,None,459.6081947411294,None,459.6081947411294,None,459.6081947411294,None,463.59303431009175,None,463.59303431009175,None,463.59303431009175,None,463.59303431009175,None,463.59303431009175,None,463.59303431009175,None,463.59303431009175,None,464.5934544465854,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,2,0,8.3,,,,,,,,,0,1,1,1,0,3,3,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.63,0.63,2.6399999999999997,-11.46,8.3,-3.16,-1.58,gamble,lose,-3.16,166.85416666666663,466.61088931019185,None,466.61088931019185,None,466.61088931019185,None,466.61088931019185,None,466.61088931019185,None,466.61088931019185,None,466.61088931019185,None,1,1.2840349740581587,466.61088931019185,None,467.97802875039633,None,467.97802875039633,None,467.97802875039633,None,467.97802875039633,None,467.97802875039633,None,467.97802875039633,None,467.97802875039633,None,471.9295549849048,None,471.9295549849048,None,471.9295549849048,None,471.9295549849048,None,471.9295549849048,None,471.9295549849048,None,471.9295549849048,None,481.41653123428114,None,472.91327525657834,None,473.9136499555898,None,0.62,7.502763845201116,476.91481565032154,None,None,476.91481565032154,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,2,0,13.1,,,,,,,,,0,1,1,1,0,4,4,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.62,0.62,3.26,-11.94,13.1,1.1600000000000001,0.5800000000000001,gamble,lose,1.1600000000000001,168.01416666666663,483.43389858171577,None,483.43389858171577,None,483.43389858171577,None,483.43389858171577,None,483.43389858171577,None,483.43389858171577,None,483.43389858171577,None,1,1.2007103602518328,483.43389858171577,None,484.6676880494924,None,484.6676880494924,None,484.6676880494924,None,484.6676880494924,None,484.6676880494924,None,484.6676880494924,None,484.6676880494924,None,488.6692786804051,None,488.6692786804051,None,488.6692786804051,None,488.6692786804051,None,488.6692786804051,None,488.6692786804051,None,488.6692786804051,None,489.6529115969315,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,2,0,9.9,,,,,,,,,0,1,1,1,0,5,5,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.62,0.62,3.88,-12.559999999999999,9.9,-2.6599999999999984,-1.3299999999999992,gamble,lose,-2.6599999999999984,165.35416666666663,491.67037941876333,None,491.67037941876333,None,491.67037941876333,None,491.67037941876333,None,491.67037941876333,None,491.67037941876333,None,491.67037941876333,None,1,1.0172902317717671,491.67037941876333,None,492.72077179676853,None,492.72077179676853,None,492.72077179676853,None,492.72077179676853,None,492.72077179676853,None,492.72077179676853,None,492.72077179676853,None,496.70562000526115,None,496.70562000526115,None,496.70562000526115,None,496.70562000526115,None,496.70562000526115,None,496.70562000526115,None,496.70562000526115,None,497.7059895846178,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,2,0,7.5,,,,,,,,,0,1,1,1,0,6,6,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.62,0.62,4.5,-13.18,7.5,-5.68,0.9100000000000001,gamble,lose,-5.68,159.67416666666662,499.72342668811325,None,499.72342668811325,None,499.72342668811325,None,499.72342668811325,None,499.72342668811325,None,499.72342668811325,None,499.72342668811325,None,1,1.2173497484182008,499.72342668811325,None,500.97385490412125,None,500.97385490412125,None,500.97385490412125,None,500.97385490412125,None,500.97385490412125,None,500.97385490412125,None,500.97385490412125,None,504.9754128968925,None,504.9754128968925,None,504.9754128968925,None,504.9754128968925,None,504.9754128968925,None,504.9754128968925,None,504.9754128968925,None,514.4623779468238,None,505.9591050101444,None,506.9595398657839,None,0.44,7.50268992932979,509.96061884536175,None,None,509.96061884536175,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,2,0,4.7,,,,,,,,,0,1,1,1,0,7,7,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.44,0.44,4.94,-11.100000000000001,4.7,-6.400000000000001,-0.8500000000000005,certain,certain,-0.8500000000000005,158.82416666666663,516.47976033343,None,516.47976033343,None,516.47976033343,None,516.47976033343,None,516.47976033343,None,516.47976033343,None,516.47976033343,None,3,1.3841170493979007,516.47976033343,None,517.8969670498627,None,517.8969670498627,None,517.8969670498627,None,517.8969670498627,None,517.8969670498627,None,517.8969670498627,None,517.8969670498627,None,521.88180597889,None,521.88180597889,None,521.88180597889,None,521.88180597889,None,521.88180597889,None,521.88180597889,None,521.88180597889,None,522.8822289952077,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,2,0,10.3,,,,,,,,,0,1,1,1,0,8,8,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,False,0.44,0.44,5.380000000000001,-11.540000000000001,10.3,-1.2400000000000002,-0.6200000000000001,gamble,lose,-1.2400000000000002,157.58416666666662,524.8996248210315,None,524.8996248210315,None,524.8996248210315,None,524.8996248210315,None,524.8996248210315,None,524.8996248210315,None,524.8996248210315,None,1,1.3674616621574387,524.8996248210315,None,526.3001470317831,None,526.3001470317831,None,526.3001470317831,None,526.3001470317831,None,526.3001470317831,None,526.3001470317831,None,526.3001470317831,None,530.3016647067852,None,530.3016647067852,None,530.3016647067852,None,530.3016647067852,None,530.3016647067852,None,530.3016647067852,None,530.3016647067852,None,539.7885584007599,None,531.2853654595674,None,532.2857417584746,None,0.43,7.5027670450508595,535.2868047389202,None,None,535.2868047389202,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,2,0,7.1,,,,,,,,,0,1,1,1,0,9,9,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.43,0.43,5.8100000000000005,-11.83,7.1,-4.73,1.1849999999999996,certain,certain,1.1849999999999996,158.76916666666662,541.8060223827488,None,541.8060223827488,None,541.8060223827488,None,541.8060223827488,None,541.8060223827488,None,541.8060223827488,None,541.8060223827488,None,3,1.7009332277229987,541.8060223827488,None,543.5400107193855,None,543.5400107193855,None,543.5400107193855,None,543.5400107193855,None,543.5400107193855,None,543.5400107193855,None,543.5400107193855,None,547.5415629525087,None,547.5415629525087,None,547.5415629525087,None,547.5415629525087,None,547.5415629525087,None,547.5415629525087,None,547.5415629525087,None,548.525179869961,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,2,0,3.5,,,,,,,,,0,1,1,1,0,10,10,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,True,True,0.43,0.43,6.24,-12.26,3.5,-8.76,-2.63,certain,certain,-2.63,156.13916666666663,550.5426345724845,None,550.5426345724845,None,550.5426345724845,None,550.5426345724845,None,550.5426345724845,None,550.5426345724845,None,550.5426345724845,None,3,1.3507173198158853,550.5426345724845,None,551.9264629980898,None,551.9264629980898,None,551.9264629980898,None,551.9264629980898,None,551.9264629980898,None,551.9264629980898,None,551.9264629980898,None,555.9279928324395,None,555.9279928324395,None,555.9279928324395,None,555.9279928324395,None,555.9279928324395,None,555.9279928324395,None,555.9279928324395,None,556.9117303831154,None,,,,,,,,,,,,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
,,,2,0,5.3,,,,,,,,,0,1,1,1,0,11,11,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,False,False,False,0.43,0.43,6.67,2.060833333333333,1.325,-0.7358333333333331,0.2945833333333334,gamble,win,1.325,157.4641666666666,558.9291642868193,None,558.9291642868193,None,558.9291642868193,None,558.9291642868193,None,558.9291642868193,None,558.9291642868193,None,558.9291642868193,None,1,1.167366947454866,558.9291642868193,None,560.1296257009963,None,560.1296257009963,None,560.1296257009963,None,560.1296257009963,None,560.1296257009963,None,560.1296257009963,None,560.1296257009963,None,564.1311337765073,None,564.1311337765073,None,564.1311337765073,None,564.1311337765073,None,564.1311337765073,None,564.1311337765073,None,564.1311337765073,None,573.6180271505145,None,565.1147900517681,None,566.1152639452484,None,0.68,7.502732806955464,569.116261649353,None,None,569.116261649353,None,,,,,,,,,23607,2019_Dec_06_1329,Mmi_3levels,3.1.5,59.99234062387028,
